Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2019,"CHC",162,84,78,4.100551617157537,738,162,69,1,1,38,71,28,1442,6190,1376,717,657,195,534,16,80,60,1,1444
2019,"PIT",162,69,93,5.187499106006799,712,162,56,1,0,31,57,24,1440,6391,1511,911,830,241,584,22,85,50,4,1443
2016,"CHC",162,103,58,3.1507197062456793,665,162,100,5,2,38,74,15,1459.2,5933,1125,556,511,163,495,24,63,80,0,1441
2017,"CHC",162,92,70,3.954858411446805,693,162,77,2,1,38,90,19,1447.1,6108,1294,695,636,194,554,29,66,73,4,1439
2014,"TBR",162,77,85,3.5602365898355113,656,162,84,3,1,37,75,19,1463.2,6131,1292,625,579,145,482,27,58,65,3,1437
2022,"MIA",162,69,93,3.8696652961643423,694,162,64,6,1,41,73,29,1437.1,6056,1311,676,618,173,511,19,76,54,3,1437
2015,"CHC",162,97,65,3.362681956419313,714,162,81,6,4,48,89,19,1461.1,5997,1276,608,546,134,407,38,46,66,3,1431
2013,"DET",162,93,69,3.611895912229151,590,162,108,3,1,39,68,16,1462.2,6119,1369,624,587,128,462,29,42,63,7,1428
2018,"MIL",163,96,67,3.7330584222381265,722,163,51,0,0,49,92,25,1461,6114,1259,659,606,173,553,34,61,50,5,1428
2019,"ARI",162,85,77,4.245054102339878,719,162,67,0,0,45,90,24,1465,6230,1400,743,691,220,516,38,62,49,4,1427
2021,"SFG",162,107,55,3.2474231235418296,761,162,63,2,2,56,108,28,1455,6002,1254,594,525,151,416,20,63,44,7,1425
2018,"ATL",162,90,72,3.7503424753322663,715,162,70,2,1,40,97,20,1456.2,6155,1236,657,607,153,635,43,52,61,8,1423
2022,"PHI",162,87,75,3.975962562939083,678,162,75,3,1,42,87,18,1428.1,6006,1330,685,631,150,463,16,68,47,3,1423
2018,"TBR",162,90,72,3.7470644114646716,715,162,39,0,0,52,113,21,1448.1,5992,1236,646,603,164,501,34,53,55,6,1421
2018,"WSN",162,82,80,4.039417829515081,724,162,74,2,1,40,82,14,1446,6087,1320,682,649,198,487,37,76,42,6,1417
2021,"ATL",161,88,73,3.8917751013611266,742,161,67,2,2,40,112,25,1410.2,5944,1237,656,610,183,516,34,66,73,8,1417
2022,"CIN",162,62,100,4.86253007585465,736,162,51,1,1,31,59,21,1423.1,6220,1366,815,769,213,612,21,110,58,5,1414
2018,"COL",163,91,72,4.331653186564197,681,163,84,0,0,51,105,27,1452.1,6154,1377,745,699,184,525,24,52,70,8,1409
2015,"CLE",161,81,80,3.681246582304092,637,161,91,11,1,38,61,12,1432.2,5904,1274,640,586,161,425,27,48,48,5,1407
2003,"CHC",162,88,74,3.82535991327932,582,162,100,13,6,36,62,15,1456.1,6227,1304,683,619,143,617,36,71,63,3,1404
2019,"LAA",162,72,90,5.115527794441177,751,162,22,0,0,32,72,14,1442.2,6289,1417,868,820,267,576,11,82,98,9,1404
2012,"MIL",162,83,79,4.222427052313732,674,162,85,0,0,44,81,29,1453.2,6245,1458,733,682,169,525,20,31,57,5,1402
2018,"SDP",162,66,96,4.41043256574626,697,162,47,0,0,36,83,17,1457,6254,1430,767,714,185,519,28,68,52,4,1399
2019,"STL",162,91,71,3.8206371281816787,704,162,76,1,1,52,97,21,1444,6068,1284,662,613,191,545,41,69,46,4,1399
2016,"CLE",161,94,67,3.855364680547443,665,161,81,5,3,37,54,11,1445,6033,1330,676,619,186,461,34,34,49,7,1398
2015,"LAD",162,92,70,3.455154054140746,677,162,95,6,3,47,87,21,1445.2,5932,1317,595,555,145,395,32,38,52,10,1396
2016,"HOU",162,84,78,4.064713114177654,662,162,77,2,1,44,102,20,1468,6180,1441,701,663,181,453,19,39,98,2,1396
2016,"NYM",162,87,75,3.5825855136911784,700,162,87,1,1,55,100,16,1447,6067,1398,617,576,152,439,39,35,50,7,1396
2015,"SDP",162,74,88,4.092803373440219,678,162,90,1,0,41,63,17,1440.1,6093,1371,731,655,171,516,35,54,54,3,1393
2016,"NYY",162,84,78,4.164991812593218,645,162,70,0,0,48,80,16,1428.1,6023,1358,702,661,214,444,15,57,52,2,1393
2019,"ATL",162,97,65,4.200135821722686,737,162,76,1,0,44,106,22,1450.2,6243,1421,743,677,203,548,33,69,70,3,1393
2019,"PHI",162,81,81,4.531987185780213,726,162,58,3,1,36,94,19,1453.2,6274,1452,794,732,258,546,38,71,45,7,1392
2021,"CLE",162,80,82,4.340199738389176,697,162,58,0,0,39,65,19,1408,5968,1281,727,679,216,522,12,59,52,8,1391
2022,"SEA",162,90,72,3.5888036707872395,698,162,79,0,0,40,91,15,1447,5986,1277,623,577,186,447,24,56,45,0,1391
2022,"CLE",162,92,70,3.473901702235523,669,162,75,1,0,51,61,17,1456,5989,1252,634,562,172,435,14,57,49,2,1390
2022,"TOR",162,92,70,3.8901473687102515,746,162,73,0,0,46,91,23,1441.1,6053,1356,679,623,180,424,15,76,29,5,1390
2018,"LAA",162,80,82,4.151440026295796,763,162,53,1,1,35,86,26,1437.1,6108,1353,722,663,205,546,17,65,87,3,1386
2012,"PHI",162,81,81,3.8571429368751695,602,162,99,5,4,42,78,19,1451.1,6072,1387,680,622,178,409,33,44,30,3,1385
2022,"TBR",162,86,76,3.4102633207968704,734,162,52,0,0,44,106,33,1435.2,5930,1260,614,544,172,384,15,66,54,4,1384
2012,"TBR",162,90,72,3.193880754893375,634,162,90,7,4,50,77,8,1459.2,6000,1233,577,518,139,469,35,54,59,4,1383
2022,"LAA",162,73,89,3.7863939268507276,652,162,53,2,2,38,78,28,1435.2,6038,1241,668,604,168,540,23,60,64,3,1383
2022,"CHC",162,74,88,4.027245223309598,690,162,48,0,0,44,57,30,1443.2,6162,1342,731,646,207,540,19,73,53,8,1383
2021,"MIA",162,67,95,3.9561822147550587,757,162,49,1,0,33,71,24,1415,6027,1282,701,622,162,529,43,88,58,2,1381
2013,"CLE",162,92,70,3.8152196397930864,702,162,73,3,3,38,78,22,1441.1,6154,1359,662,611,147,554,26,58,71,3,1379
2016,"MIA",161,79,82,4.051569711352381,720,161,63,0,0,55,97,29,1435,6164,1358,682,646,152,595,62,61,66,3,1379
2019,"TEX",162,78,84,5.08832018267748,661,162,55,4,1,33,58,14,1438,6354,1515,878,813,241,583,11,70,68,3,1379
2019,"MIA",162,57,105,4.73575235080631,701,162,60,2,2,27,55,22,1444.1,6247,1340,808,760,236,615,52,90,71,6,1378
2018,"MIN",162,78,84,4.502081215986927,728,162,58,2,1,37,83,28,1443.1,6287,1425,775,722,198,573,34,80,59,0,1377
2017,"NYM",162,70,92,5.012313808756303,730,162,62,2,0,34,73,20,1434.2,6378,1538,863,799,220,593,51,55,55,5,1374
2014,"LAD",162,94,68,3.4041884251292376,658,162,100,7,3,47,89,14,1464.2,6075,1338,617,554,142,429,35,41,64,4,1373
2017,"TOR",162,76,86,4.423208718233887,740,162,69,2,0,45,79,26,1465,6316,1460,784,720,203,549,25,48,53,4,1372
2014,"NYY",162,84,78,3.747420210062478,637,162,83,5,2,48,85,21,1453,6114,1392,664,605,164,398,23,65,49,6,1370
2015,"NYY",162,87,75,4.031787645610112,659,162,72,3,0,48,80,12,1457.2,6191,1416,698,653,182,474,16,56,78,4,1370
2022,"SFG",162,81,81,3.86252538662745,738,162,55,1,0,39,74,20,1433,6070,1397,697,615,132,441,16,52,53,2,1370
2019,"DET",161,47,114,5.256806769619226,738,161,40,0,0,31,65,25,1433,6341,1555,915,837,250,536,24,69,66,7,1368
2019,"SFG",162,77,85,4.380529593478759,749,162,51,1,0,41,86,22,1469,6256,1395,773,715,227,519,26,65,53,4,1368
2016,"BOS",162,93,69,4.000923967157678,625,162,87,9,1,43,81,18,1439.2,6073,1341,694,640,176,490,16,65,52,0,1362
2015,"CHW",162,76,86,3.9837075699651523,576,162,98,7,4,37,61,15,1452.2,6181,1443,701,643,162,474,34,62,61,2,1359
2021,"CHC",162,71,91,4.880133556228812,761,162,43,1,0,40,73,17,1412.2,6202,1386,839,766,235,596,25,98,60,4,1358
2016,"TBR",162,68,94,4.196075224084754,647,162,74,1,1,42,75,18,1426.1,6076,1395,713,665,210,491,25,32,61,7,1357
2015,"TBR",162,80,82,3.740369045441319,692,162,68,1,1,60,113,27,1453.1,6069,1314,642,604,175,477,23,46,81,5,1355
2017,"TBR",162,80,82,3.9861619974093085,673,162,73,0,0,53,93,22,1445,6099,1324,704,640,193,503,37,48,83,4,1352
2017,"STL",162,83,79,4.01494032362206,708,162,79,3,3,43,90,17,1450.1,6153,1393,705,647,183,493,50,67,38,0,1351
2004,"CHC",162,89,73,3.826431355891177,622,162,95,3,2,42,68,24,1465.1,6262,1363,665,623,169,545,33,76,50,9,1346
2017,"MIL",162,86,76,3.996775186343777,712,162,65,1,0,54,101,25,1445.2,6164,1381,697,642,185,553,45,64,50,2,1346
2021,"WSN",162,65,97,4.821655631411101,731,162,50,1,0,36,92,34,1394.1,6073,1364,820,747,247,548,46,71,43,1,1346
2022,"BOS",162,78,84,4.534594012256617,738,162,46,5,2,39,87,27,1431,6167,1411,787,721,185,526,17,72,60,8,1346
2021,"KCR",162,74,88,4.641813696480585,718,162,51,1,0,37,81,24,1417.1,6127,1375,788,731,189,591,16,62,86,9,1344
2014,"LAA",162,98,64,3.5813837842937812,705,162,80,3,2,46,81,16,1482.2,6179,1307,630,590,126,504,41,63,74,4,1342
2015,"WSN",162,83,79,3.619654556871891,630,162,91,4,3,41,77,23,1434.2,5975,1366,635,577,145,364,37,55,39,4,1342
2015,"PIT",162,98,64,3.2262252315891256,662,162,92,0,0,54,99,14,1489.2,6215,1392,596,534,110,453,38,75,67,4,1338
2015,"NYM",162,90,72,3.4519149185535216,647,162,101,1,1,50,71,21,1462.2,6046,1341,613,561,152,383,43,44,46,2,1337
2018,"STL",162,88,74,3.8527262683229835,727,162,68,1,1,43,89,21,1455.1,6271,1354,691,623,144,593,49,67,63,4,1337
2018,"PIT",161,82,79,4.004184778475229,641,161,80,3,2,40,81,20,1434,6144,1380,693,638,174,497,43,69,95,6,1336
2022,"MIN",162,78,84,3.9832969252362016,710,162,35,0,0,28,100,26,1437,6042,1320,684,636,184,468,19,66,50,4,1336
2002,"CHC",162,67,95,4.302264467422725,552,162,88,11,3,23,32,25,1441.1,6236,1373,759,689,167,606,53,58,44,2,1333
2018,"CHC",163,95,68,3.645518556028024,763,163,66,1,0,46,103,19,1476.1,6264,1319,645,598,157,622,33,66,46,3,1333
2011,"ATL",162,89,73,3.4852442377891104,672,162,86,3,2,52,99,25,1479.2,6220,1332,605,573,125,521,73,53,61,5,1332
2019,"TOR",162,67,95,4.792639734142473,753,162,40,1,0,33,72,10,1440.1,6313,1450,828,767,228,604,25,69,70,6,1332
2021,"OAK",162,86,76,4.019543427045436,666,162,76,3,3,39,71,28,1433,6060,1362,687,640,191,439,11,64,63,2,1332
2010,"SFG",162,92,70,3.3634518107258926,638,162,95,6,3,57,65,16,1461,6159,1279,583,546,134,578,58,51,74,4,1331
2015,"STL",162,100,62,2.9371872005401864,677,162,106,1,0,62,84,15,1464.2,6134,1359,525,478,123,477,37,45,48,5,1329
2018,"SEA",162,89,73,4.125172539666342,699,162,66,3,1,60,109,21,1448.2,6073,1396,711,664,195,400,21,72,57,3,1328
2021,"SEA",162,90,72,4.299005919729183,746,162,55,1,0,51,99,32,1440.1,6106,1356,748,688,197,485,23,69,58,3,1328
2012,"WSN",162,98,64,3.3405222274144846,644,162,97,3,1,51,105,17,1468.1,6133,1296,594,545,129,497,32,47,62,4,1325
2017,"SDP",162,71,91,4.699210984805469,679,162,67,2,1,45,81,17,1430.2,6169,1417,816,747,226,554,28,75,73,11,1325
2012,"DET",162,88,74,3.7681736287605587,582,162,90,9,3,40,73,16,1430.2,6045,1409,670,599,151,438,35,42,46,6,1318
2012,"NYY",162,95,67,3.8544757914655947,647,162,83,6,2,51,87,13,1445.1,6085,1401,668,619,190,431,32,49,53,9,1318
2016,"SEA",162,86,76,3.9965705075287854,638,162,74,2,2,49,97,25,1457,6147,1410,707,647,213,460,30,55,52,7,1318
2016,"ARI",162,69,93,5.091180828368968,737,162,62,2,2,31,69,22,1451.1,6437,1563,890,821,202,603,57,57,69,7,1318
2014,"SEA",162,87,75,3.1735534269329118,659,162,83,2,1,51,86,11,1452,5974,1240,554,512,137,463,36,52,80,8,1317
2021,"MIN",162,73,89,4.831847466885036,691,162,32,1,0,42,89,21,1419.1,6080,1392,834,762,239,484,13,62,48,3,1317
2011,"SFG",162,86,76,3.2064026529223875,642,162,103,3,2,52,81,14,1468,6130,1260,578,523,96,559,46,50,42,4,1316
2016,"TOR",162,89,73,3.792829105300134,649,162,100,0,0,43,72,22,1459.1,6113,1340,666,615,183,461,10,59,50,7,1314
2022,"TEX",162,68,94,4.220908076988896,694,162,51,1,1,37,85,28,1435,6167,1345,743,673,169,581,16,71,66,7,1314
2017,"LAA",162,80,82,4.198060005519007,705,162,61,1,1,43,77,21,1440.2,6030,1373,709,672,224,470,25,44,57,6,1312
2019,"CHW",161,72,89,4.905615216683819,697,161,53,6,2,33,73,16,1412.2,6159,1438,832,770,238,582,30,51,71,5,1312
2021,"PIT",162,61,101,5.079017627791947,745,162,25,0,0,25,74,24,1396.1,6140,1400,833,788,213,606,26,78,55,5,1312
2014,"CHC",162,73,89,3.92391510402531,699,162,79,1,1,37,81,21,1463.1,6208,1398,707,638,115,504,37,55,64,3,1311
2013,"TBR",163,92,71,3.7377036208152723,648,163,80,9,3,42,85,18,1464,6083,1315,646,608,153,482,38,52,69,6,1310
2013,"TEX",163,91,72,3.628701469096155,638,163,77,4,2,46,74,11,1463.1,6146,1370,636,590,157,498,35,48,68,5,1309
2016,"SFG",162,87,75,3.6916216608524457,737,162,85,10,3,43,125,30,1460.1,6048,1333,631,599,158,439,30,46,40,6,1309
2017,"PHI",162,66,96,4.565580858355448,668,162,65,1,0,33,73,24,1441,6235,1471,782,731,221,527,39,63,50,11,1309
2002,"ARI",162,98,64,3.925574488808127,584,162,101,14,5,40,58,19,1446.2,6067,1361,674,631,170,421,30,54,48,11,1303
2014,"NYM",162,79,83,3.4926012707624685,651,162,98,1,1,42,73,22,1463.2,6170,1370,618,568,141,509,38,50,56,1,1303
2009,"SFG",162,88,74,3.5539430003930934,619,162,84,11,3,41,70,17,1446,6103,1268,611,571,140,584,49,41,71,3,1302
2014,"ATL",162,79,83,3.3835076684105876,634,162,110,5,2,54,81,13,1455,6087,1369,597,547,121,472,36,37,75,1,1301
2017,"CIN",162,68,94,5.1671356523536405,666,162,54,2,1,33,57,14,1430,6286,1442,869,821,248,631,37,77,62,7,1300
2011,"PHI",162,102,60,3.022341329573412,556,162,108,18,7,47,56,10,1477,6069,1320,529,496,120,404,41,47,23,6,1299
2016,"PHI",162,71,91,4.640918808678981,667,162,79,4,3,43,80,20,1437,6163,1468,796,741,213,466,30,51,57,9,1299
2019,"OAK",162,97,65,3.9685999437276274,709,162,78,1,1,45,109,30,1465,6153,1342,680,646,201,477,19,66,74,4,1299
2018,"TOR",162,73,89,4.852594163389381,752,162,57,0,0,39,83,20,1433.2,6265,1476,832,773,208,551,19,67,71,5,1298
2013,"SEA",162,71,91,4.31877208135058,610,162,83,4,2,43,65,23,1465,6256,1467,754,703,174,478,48,42,74,1,1297
2013,"CIN",162,90,72,3.3833974176574015,623,162,94,5,2,43,78,16,1473.2,6077,1294,589,554,170,435,28,66,44,5,1296
2010,"SDP",162,90,72,3.4051261423968664,661,162,87,2,2,49,111,15,1456.1,6058,1305,581,551,139,517,51,28,29,5,1295
2013,"BOS",162,97,65,3.7943621726610837,612,162,95,5,2,33,73,24,1454,6143,1366,656,613,156,524,10,47,47,5,1294
2013,"LAD",162,92,70,3.2516658077855056,666,162,93,7,4,46,83,19,1450.1,6032,1321,582,524,127,460,44,43,66,3,1292
2003,"ARI",162,84,78,3.841236514498435,614,162,90,7,5,42,47,13,1455,6230,1379,685,621,150,526,53,72,52,9,1291
2014,"CIN",162,76,86,3.585063625192457,590,162,103,5,3,44,69,19,1446,6067,1282,612,576,163,507,33,69,45,5,1290
2016,"STL",162,86,76,4.076409262372049,643,162,83,2,2,38,70,17,1448.1,6164,1432,712,656,159,475,35,52,50,1,1290
2003,"LAD",162,85,77,3.155043842178706,600,162,97,3,3,58,81,8,1457.2,6001,1254,556,511,127,526,35,40,50,5,1289
2014,"WSN",162,96,66,3.0292365689176637,620,162,106,5,4,45,93,17,1470.2,6020,1351,555,495,110,352,26,51,37,2,1288
2016,"KCR",162,81,81,4.212499001590357,634,162,68,3,0,41,78,19,1440,6182,1433,712,674,206,517,8,60,55,7,1287
2012,"TEX",162,93,69,4.019418692548402,590,162,86,7,2,43,61,9,1442,6067,1378,707,644,175,446,15,41,53,8,1286
2014,"SDP",162,77,85,3.2717796529394803,643,162,91,4,3,41,75,8,1438.2,6006,1300,577,523,117,462,32,46,57,4,1284
2015,"SEA",162,76,86,4.1647264398912816,671,162,88,6,5,45,100,24,1463,6223,1430,726,677,181,491,41,70,72,5,1283
2004,"HOU",162,92,70,4.054054614281527,655,162,72,2,2,47,74,23,1443,6201,1416,698,650,174,525,61,68,45,3,1282
2015,"HOU",162,86,76,3.5725191362805773,644,162,94,5,3,39,79,19,1441,5965,1308,618,572,148,423,17,43,61,2,1280
2014,"ARI",162,64,98,4.255945156144071,650,162,75,2,1,35,75,20,1444.1,6162,1467,742,683,154,469,43,51,50,5,1278
2012,"LAD",162,86,76,3.35249348322365,668,162,93,2,2,40,81,19,1449.2,6068,1277,597,540,122,539,62,45,46,2,1276
2010,"LAD",162,80,82,4.0141051442632225,637,162,92,4,4,41,70,18,1441.2,6141,1323,692,643,134,539,75,58,58,8,1274
2009,"CHC",161,83,78,3.8420221660667266,641,161,94,3,2,40,75,18,1445.1,6177,1329,672,617,160,586,46,59,60,6,1272
2009,"LAD",162,95,67,3.414706235702603,688,162,82,1,1,44,77,26,1473.1,6182,1265,611,559,127,584,68,57,76,2,1272
2016,"CHW",162,78,84,4.118433085831095,643,162,95,7,1,43,86,28,1446.2,6195,1422,715,662,185,521,30,68,72,2,1270
2017,"COL",162,87,75,4.513565616887524,711,162,68,1,1,47,111,14,1437.2,6177,1453,757,721,190,532,20,50,69,10,1270
2018,"SFG",162,73,89,3.9539217619318707,711,162,73,1,1,36,82,30,1461.1,6191,1387,699,642,156,524,37,45,44,4,1269
2021,"COL",161,74,87,4.825338520048557,704,161,68,3,1,33,72,27,1397,6044,1397,796,749,196,539,19,63,67,3,1269
2010,"CHC",162,75,87,4.241069213605417,644,162,96,1,0,40,68,14,1436.2,6298,1409,767,677,154,605,42,65,46,6,1268
2011,"LAD",161,82,79,3.563546972822855,622,161,94,7,2,40,63,13,1432,5997,1287,612,567,132,507,48,43,50,7,1265
2008,"CHC",161,97,64,3.871319915507238,639,161,84,2,1,44,74,24,1450.2,6194,1329,671,624,160,548,45,65,48,7,1264
2019,"COL",162,71,91,5.578922371908709,752,162,46,1,1,28,62,23,1448.2,6423,1576,958,898,270,589,33,57,63,7,1264
2017,"PIT",162,75,87,4.229290859654526,664,162,69,2,1,36,82,21,1440.2,6208,1464,731,677,182,511,32,58,58,2,1262
2013,"PIT",162,94,68,3.274027079692242,627,162,83,3,0,55,86,15,1470.2,6147,1299,577,535,101,515,26,70,81,6,1261
2009,"NYY",162,103,59,4.276552309182844,623,162,76,3,1,51,74,15,1450,6247,1386,753,689,181,574,28,71,66,5,1260
2015,"MIL",162,68,94,4.277352001655765,658,162,63,1,0,40,73,14,1435,6148,1432,737,682,176,517,36,55,71,5,1260
2018,"CHW",162,62,100,4.847598021836986,715,162,74,0,0,34,67,19,1437,6339,1404,848,774,196,653,25,89,94,9,1259
2021,"DET",162,77,85,4.317210269638306,739,162,47,2,1,42,76,22,1419.2,6164,1370,756,681,199,571,10,82,80,3,1259
2010,"MIL",162,77,85,4.590685950095176,657,162,75,3,3,35,86,21,1439,6324,1487,804,734,173,582,42,48,71,3,1258
2017,"ATL",162,72,90,4.720630400676957,692,162,77,0,0,36,81,23,1441.1,6306,1463,821,756,192,584,39,70,58,5,1258
2018,"CIN",162,67,95,4.653020125524676,706,162,46,1,0,38,74,19,1441,6279,1491,819,745,228,532,60,50,48,8,1258
2011,"MIL",162,96,66,3.639536539501436,596,162,98,1,1,47,74,19,1441.2,6048,1348,638,583,147,440,16,33,70,5,1257
2005,"CHC",162,79,83,4.1937518359561885,619,162,91,8,2,39,69,19,1440,6185,1357,714,671,186,576,48,50,57,7,1256
2013,"SFG",162,76,86,3.9983880704531995,686,162,80,2,2,41,81,13,1447.1,6163,1380,691,643,145,521,64,50,60,4,1256
2014,"PHI",162,73,89,3.8063542161999244,623,162,85,2,0,40,57,16,1468.1,6261,1396,687,621,134,521,43,69,49,1,1255
2013,"STL",162,97,65,3.4281789775689226,645,162,88,7,4,44,83,20,1459.2,6104,1366,596,556,112,451,26,64,33,1,1254
2015,"CIN",162,64,98,4.34724434338219,683,162,68,2,1,35,63,21,1453.1,6271,1436,754,702,177,544,42,58,54,11,1252
2006,"CHC",162,66,96,4.74079172707604,704,162,60,2,1,29,68,17,1439,6366,1396,834,758,210,687,44,67,68,4,1250
2022,"PIT",162,62,100,4.661507078232675,666,162,38,0,0,33,67,27,1421,6263,1432,817,736,164,586,23,87,62,5,1250
2013,"CHW",162,63,99,3.995878965363586,632,162,90,5,1,40,89,20,1455,6214,1424,723,646,182,509,24,60,62,4,1249
2018,"MIA",161,63,98,4.76213959618239,707,161,57,1,0,30,80,22,1442,6236,1388,809,763,192,605,73,71,47,6,1249
2009,"FLA",162,87,75,4.318508307688514,692,162,74,5,1,45,93,24,1446.1,6299,1425,766,694,160,601,60,45,59,5,1248
2012,"CIN",162,97,65,3.3448048074289676,587,162,98,9,2,56,73,18,1453,6056,1356,588,540,152,427,33,51,34,7,1248
2016,"BAL",162,89,73,4.217178088477021,605,162,69,1,0,54,58,14,1432,6122,1408,715,671,183,545,23,51,59,3,1248
2019,"BAL",162,54,108,5.669440451097214,695,162,41,0,0,27,57,27,1443,6396,1544,981,909,305,561,11,80,75,6,1248
2012,"CHW",162,85,77,4.021674993513871,628,162,86,6,2,37,65,21,1445.2,6098,1365,676,646,186,503,29,68,66,9,1246
2014,"MIL",162,82,80,3.667507265903715,640,162,103,3,3,45,76,20,1457.2,6106,1386,657,594,167,431,20,42,44,2,1246
2014,"DET",162,90,72,4.011004399493575,635,162,90,5,4,41,72,16,1454,6191,1475,705,648,127,462,34,42,43,9,1244
2014,"OAK",162,88,74,3.2227785251990846,603,162,102,7,3,31,61,21,1463.1,5971,1269,572,524,147,406,28,48,59,1,1244
2017,"SEA",162,78,84,4.455217892825678,689,162,62,1,0,39,93,26,1440.1,6132,1399,772,713,237,490,28,53,73,7,1244
2010,"ATL",162,91,71,3.5704016861787857,652,162,86,2,0,41,77,17,1439.1,6052,1326,629,571,126,505,64,49,42,3,1241
2016,"CIN",162,68,94,4.911929454296715,646,162,67,2,1,28,57,25,1442,6348,1457,854,787,258,636,31,78,61,12,1241
2008,"SFG",162,72,90,4.375174066216449,640,162,86,4,2,41,56,19,1442,6341,1416,759,701,147,652,59,70,77,7,1240
2012,"NYM",162,74,88,4.092050251131543,667,162,101,7,5,36,66,19,1434,6086,1368,709,652,161,488,29,40,40,3,1240
2019,"SEA",162,68,94,4.996062142897706,700,162,51,3,2,34,66,29,1439.1,6268,1484,893,799,260,505,25,51,75,4,1239
2021,"TEX",162,60,102,4.802246056862994,669,162,50,0,0,31,64,18,1424.1,6103,1402,815,760,232,513,11,61,67,0,1239
2021,"ARI",162,52,110,5.1498149216915685,727,162,41,3,3,22,68,28,1417.1,6270,1480,893,811,232,555,45,75,43,7,1238
2012,"SFG",162,94,68,3.678154883565981,688,162,93,5,4,53,102,13,1451,6138,1361,649,593,142,489,42,51,54,4,1237
2018,"OAK",162,97,65,3.819421706697006,740,162,62,2,2,44,84,18,1465.2,6099,1303,674,622,184,474,19,53,86,2,1237
2013,"WSN",162,86,76,3.5858879358582088,602,162,91,6,4,47,79,21,1445.2,6038,1367,626,576,142,405,17,48,43,8,1236
2010,"COL",162,83,79,4.137999188180151,675,162,86,6,2,35,82,21,1442,6143,1405,717,663,139,525,54,56,77,12,1234
2017,"SFG",162,64,98,4.500001436423138,664,162,82,3,2,32,66,22,1452,6287,1515,776,726,182,496,42,50,55,3,1234
2021,"BAL",162,52,110,5.848073510444543,731,162,31,1,1,26,61,27,1402,6252,1518,956,911,258,563,12,68,88,7,1234
2013,"NYY",162,85,77,3.942424981114345,590,162,84,7,3,49,67,13,1447.1,6128,1452,671,634,171,437,34,51,57,1,1233
2015,"BAL",162,81,81,4.052510057666979,615,162,72,0,0,43,54,15,1434.2,6085,1406,693,646,174,483,27,54,46,0,1233
2017,"BAL",162,75,87,4.971546499596072,654,162,61,1,1,35,58,17,1441,6293,1505,841,796,242,579,21,60,53,6,1233
2009,"ATL",162,86,76,3.57497604637556,650,162,99,3,0,38,71,21,1462.2,6208,1399,641,581,119,530,59,49,40,6,1232
2012,"ATL",162,94,68,3.4185887714164407,622,162,79,5,4,47,81,13,1445.1,5991,1310,600,549,145,464,40,41,54,3,1232
2013,"ATL",162,96,66,3.1771997349091046,628,162,102,1,0,53,91,16,1450.1,5989,1326,548,512,127,409,35,51,50,3,1232
2016,"DET",161,86,75,4.241595260014124,637,161,72,3,1,47,75,19,1428,6048,1417,721,673,182,462,25,51,44,4,1232
2016,"PIT",162,78,83,4.2249521626499265,687,162,68,5,1,51,89,20,1450.2,6292,1491,758,681,180,533,28,68,71,7,1232
2009,"BOS",162,95,67,4.353827872686838,625,162,82,8,2,41,72,18,1436.2,6283,1494,736,695,167,530,24,68,42,5,1230
2019,"KCR",162,59,103,5.204213738415447,682,162,59,1,1,37,61,23,1425,6307,1525,869,824,221,582,25,81,59,5,1230
2008,"ARI",162,82,80,3.989775644606531,606,162,95,6,2,39,68,23,1434.2,6119,1403,706,636,147,451,41,68,59,3,1229
2014,"PIT",162,88,74,3.491646631166314,614,162,90,2,1,48,90,24,1456.1,6130,1341,631,565,128,499,43,88,71,3,1228
2008,"CIN",162,74,88,4.548881956676412,669,162,78,2,1,34,58,21,1442.1,6352,1542,800,729,201,557,40,67,52,7,1227
2016,"ATL",161,68,93,4.507252739983658,748,161,64,1,1,39,64,19,1447.2,6250,1414,779,725,177,547,55,70,83,4,1227
2021,"STL",162,90,72,3.9950607788207035,718,162,56,3,1,50,106,21,1417,6046,1234,672,629,152,608,30,85,66,4,1225
2011,"CHC",162,71,91,4.342088510698292,657,162,76,4,1,40,86,24,1434.1,6262,1439,756,692,162,580,45,53,51,5,1224
2016,"COL",162,75,87,4.917677813281379,695,162,78,2,2,37,73,28,1429.1,6289,1532,860,781,181,547,38,70,72,5,1223
2011,"NYY",162,97,65,3.7337137245660106,627,162,84,5,3,47,95,16,1458.1,6216,1423,657,605,152,507,43,58,67,3,1222
2016,"SDP",162,68,94,4.443751304200069,672,162,69,1,0,35,74,18,1440,6228,1425,770,711,183,569,44,53,67,3,1222
2014,"STL",162,90,72,3.5039110039676005,647,162,91,8,5,55,95,17,1448.2,6069,1321,603,564,123,470,35,61,44,5,1221
2015,"LAA",162,85,77,3.941926259696006,680,162,88,2,2,46,82,21,1440.2,6096,1355,675,631,166,466,45,71,61,4,1221
2011,"CHW",162,79,83,4.099314492792224,572,162,90,6,4,42,72,20,1460,6188,1463,706,665,147,439,50,44,55,4,1220
2022,"WSN",162,55,107,5.0047201024596,750,162,30,2,0,28,59,16,1411.2,6220,1469,855,785,244,558,12,75,59,2,1220
2002,"HOU",162,84,78,4.004843991406035,642,162,79,2,2,43,70,15,1445,6205,1423,695,643,151,546,78,55,38,3,1219
