Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2005,"COL",162,67,95,5.138625148398793,621,162,68,4,1,37,68,26,1418.2,6385,1600,862,810,175,604,54,84,65,6,981
2002,"CIN",162,78,84,4.290529561966561,624,162,67,2,1,42,67,15,1453.2,6296,1502,774,693,173,550,63,56,52,2,980
2003,"ANA",162,77,85,4.282021356296018,537,162,65,5,2,39,56,13,1431.1,6161,1444,743,681,190,486,38,76,53,3,980
2004,"TEX",162,89,73,4.544801868287861,630,162,61,5,2,52,76,14,1439.2,6345,1536,794,727,182,547,29,81,34,11,979
2006,"TBD",162,61,101,4.96784560013854,606,162,65,3,2,33,47,21,1420.1,6374,1600,856,784,180,606,39,63,70,8,979
2004,"NYM",162,71,91,4.099378024008318,636,162,82,2,2,31,70,21,1449,6333,1452,731,660,156,592,70,49,30,8,977
2007,"TEX",162,75,87,4.758041386872772,629,162,55,0,0,42,80,14,1430,6389,1525,844,756,155,668,38,70,66,4,976
2005,"STL",162,100,62,3.486280016336932,598,162,97,15,7,48,86,17,1445.2,6047,1399,634,560,153,443,27,60,41,5,974
2010,"SEA",162,61,101,3.9492333043504453,520,162,90,11,2,38,36,17,1438,6091,1402,698,631,157,452,33,40,73,11,973
2005,"SFG",162,75,87,4.349410665438345,673,162,76,4,0,46,89,28,1444.1,6280,1456,745,698,151,592,42,42,38,3,972
2006,"TEX",162,80,82,4.608989808150445,651,162,74,3,1,42,79,23,1431.1,6237,1558,784,733,162,496,18,66,34,4,972
2006,"STL",161,83,78,4.538821098937131,630,161,74,6,3,38,73,19,1429.2,6196,1475,762,721,193,504,35,80,35,3,970
2003,"STL",162,85,77,4.6178587498112735,622,162,78,9,3,41,72,30,1463.2,6375,1544,796,751,210,508,36,65,53,1,969
2002,"BAL",162,67,95,4.4607061575116616,569,162,75,8,1,31,58,15,1450.2,6258,1491,773,719,208,549,34,54,54,1,967
2007,"COL",163,90,73,4.316577577986351,692,163,79,4,1,39,80,29,1472,6293,1497,758,706,164,504,61,59,35,8,967
2010,"CLE",162,69,93,4.295884919081532,632,162,74,10,2,34,73,16,1433,6224,1477,752,684,147,572,36,66,54,3,967
2005,"MIN",162,83,79,3.7245610929496866,558,162,90,9,4,44,52,16,1464.1,6072,1458,662,606,169,348,38,43,35,4,965
2008,"TEX",162,79,83,5.3675453398596344,619,162,54,6,2,36,73,28,1442,6506,1647,967,860,176,625,44,72,62,9,963
2008,"PIT",162,67,95,5.096910585642238,659,162,66,3,2,34,65,22,1455,6528,1631,884,824,176,657,31,49,64,9,963
2006,"WSN",162,71,91,5.031559828075052,679,162,68,1,1,32,62,23,1436.1,6424,1535,872,803,193,584,93,92,47,10,960
2005,"BOS",162,95,67,4.742480094441046,604,162,81,6,0,38,59,19,1429,6227,1550,805,753,164,440,28,89,56,4,959
2005,"TOR",162,80,82,4.061506211967693,594,162,80,9,3,35,66,21,1447,6166,1475,705,653,185,444,29,68,39,5,958
2005,"PIT",162,67,95,4.437325673960002,613,162,71,4,3,35,59,12,1436,6264,1456,769,708,162,612,65,65,53,4,958
2008,"STL",162,86,76,4.202887070242411,668,162,78,2,1,42,106,31,1454,6264,1517,725,679,163,496,21,51,50,2,957
2004,"TOR",161,67,94,4.92751766734126,592,161,70,6,4,37,47,16,1421,6281,1505,823,778,181,608,47,58,60,11,956
2005,"CIN",163,73,89,5.175157311174713,654,163,70,2,0,31,63,16,1433,6397,1657,889,824,219,492,47,80,53,3,955
2006,"COL",162,76,86,4.657530758939459,661,162,81,5,4,34,76,25,1447.1,6318,1549,812,749,155,553,81,66,43,2,952
