Season,Team,TG,W,L,P_ERA,P_G,P_GS,P_QS,P_CG,P_ShO,P_SV,P_HLD,P_BS,P_IP,P_TBF,P_H,P_R,P_ER,P_HR,P_BB,P_IBB,P_HBP,P_WP,P_BK,P_SO,B_G,B_AB,B_PA,B_H,B_1B,B_2B,B_3B,B_HR,B_R,B_RBI,B_BB,B_IBB,B_SO,B_HBP,B_SF,B_SH,B_GDP,B_SB,B_CS,B_AVG,F_Pos,F_Inn,F_rSZ,F_rCERA,F_rSB,F_rGDP,F_rARM,F_rGFP,F_rPM,F_rTS,F_DRS,F_ARM,F_DPR,F_RngR,F_ErrR,F_UZR,F_UZR/150,F_FRM,F_OAA,F_RAA,F_Def,WinP,x,B_K%,B_ISO,B_BABIP,B_AVG,B_OBP,B_SLG,B_wOBA,B_xwOBA,B_wRC+,B_BsR,B_Off,B_Def,B_WAR,P_K/9,P_BB/9,P_HR/9,P_BABIP,P_LOB%,P_GB%,P_HR/FB,P_vFA (pi),P_ERA,P_xERA,P_FIP,P_xFIP,P_WAR,F_G,F_GS,F_Inn,F_PO,F_A,F_E,F_FE,F_TE,F_DP,F_DPS,F_DPT,F_DPF,F_Scp,F_SB,F_CS,F_PB,F_WP,F_FP,F_TZ,RSPG,RAPG
2002,DET,161,55,106,4.939176990996017,533,161,74,11,4,33,32,21,1414,6215,1593,864,776,163,463,34,62,59,8,794,2096,5406,5920,1340,914,265,37,124,575,546,363,22,1035,64,57,30,125,65,44,0.247872733,P,13005,0,0,0,0,0,0,0,,0,7.831169676035643,1.0608716803835705,-21.83808002,9.226181407342665,-3.719858005,0.7965996188082092,,,,-4.71985186,0.341614907,0.306952515,0.174831081,0.131520533,0.282527881,0.247872733,0.3,0.379393266,0.29726744032304303,,81.62232296568651,-9.419484652,-143.5513984,-70.12773703,-1.297414037,5.053745529446955,2.946957405710252,1.0374817648612766,0.3021339530952884,0.6636,0.423429047,0.092930444,,4.939176990996017,,4.451460702010637,4.679715248659889,11.16829048562795,1913,1449,12726,4241,1708,142,79,60,334,149,98,148,20,72,34,23,59,0.97668692,-2,3.571428571,5.366459627
2002,FLA,162,79,83,4.363011442241933,623,162,71,11,6,36,68,19,1456.1,6340,1449,763,706,151,631,46,58,55,7,1104,2319,5496,6263,1433,975,280,32,146,699,653,595,69,1130,61,49,59,129,177,73,0.26073508,1B,12969,0,0,0,0,0,0,0,,0,3.154604025185108,1.6508407332003117,-21.18315383,-3.408687374,-19.78639253,-1.784078626,,,,-23.78637494,0.487654321,0.456308077,0.180424716,0.142285298,0.301475755,0.26073508,0.336881148,0.403020378,0.32326690940124414,,97.47108620383403,5.432727560692001,-14.72227187,8.716583272442222,19.781421612719374,6.822612793534128,3.8995187252898864,0.9331653367967874,0.29526842584167423,0.7137,0.430811179,0.096055979,,4.363011442241933,,4.21315671,4.367921391,11.812485743314028,2202,1458,13005,4335,1657,83,45,37,333,151,110,149,22,104,36,5,38,0.98633745,-1,4.314814815,4.709876543
2002,HOU,162,84,78,4.004843991406035,642,162,79,2,2,43,70,15,1445,6205,1423,695,643,151,546,78,55,38,3,1219,2342,5503,6252,1441,951,291,32,167,749,719,589,57,1120,59,37,64,144,71,27,0.261857168,SS,13071,0,0,0,0,0,0,0,,0,0.4529079422354698,-1.743308015,28.871919753131806,5.856443435003712,33.438005361764226,4.428685447666999,,,,45.43796958873142,0.518518519,0.537343898,0.179142674,0.155551518,0.299553256,0.261857168,0.337588881,0.417408686,0.3294515301850312,,94.33619129,-6.230745874,-50.90449904,32.41165517643094,18.49582376932083,7.592386975931502,3.4006917874147664,0.9404843587905306,0.30042513,0.7332,0.446066886,0.104643104,,4.004843991406035,,3.8811007753447773,3.912801436430215,19.26247754972428,2041,1458,12969,4322,1697,129,61,68,387,154,117,153,24,90,36,8,68,0.97901757,-4,4.62345679,4.290123457
2002,KCR,162,62,100,5.208884002733759,583,162,65,12,4,30,40,24,1441,6386,1587,891,834,212,572,48,52,68,6,909,2248,5535,6206,1415,948,285,42,140,737,695,524,27,921,52,51,44,106,140,65,0.255645889,C,13119,0,0,0,0,0,0,0,,0,-4.771396682,7.072473943,27.557130455737934,8.328690235153772,38.186917246319354,5.6308867906535225,,,,43.186878462580665,0.382716049,0.406244344,0.148404769,0.142547426,0.281767955,0.255645889,0.32310938,0.398193315,0.3164008776055377,,84.99874021440756,10.910921141068684,-104.0723281,-39.07580034,6.732324774836114,5.677308823123486,3.572519963505648,1.3240808256349603,0.2962723550958845,0.6896,0.431310577,0.125816023,,5.208884002733759,,4.912104880363447,4.627369806271441,7.513338355347514,2116,1458,13119,4373,1678,90,44,44,328,138,105,138,21,110,53,12,33,0.98534441,5,4.549382716,5.5
2002,LAD,162,92,70,3.692204045307906,585,162,97,4,2,56,78,15,1457.2,6139,1311,643,598,165,555,45,46,33,3,1132,2302,5554,6146,1464,994,286,29,155,713,693,428,50,940,53,44,67,140,96,37,0.263593806,P,13107,0,0,0,0,0,0,0,,0,0.8738111536949873,1.493473045527935,-32.78309364,-0.5554485,-30.97129383,-3.768805769,,,,-23.9712689,0.567901235,0.551485217,0.152945004,0.145660785,0.290695092,0.263593806,0.319953939,0.409254591,0.3168128912060153,,95.77346533624414,-3.504122168,-36.05044159,78.37159369466826,24.23753057,6.989255818208277,3.426711112284093,1.0187519523006765,0.2702192879037963,0.7549,0.424689622,0.107351984,,3.692204045307906,,4.1173412763399115,4.113681538597508,16.447280385531485,2100,1458,13107,4367,1628,106,65,39,378,167,123,166,25,93,61,6,55,0.9826258,7,4.401234568,3.969135802
2002,MIL,162,56,106,4.756573192961635,608,162,73,7,3,32,52,10,1432.1,6339,1468,821,757,199,666,82,62,64,8,1026,2329,5415,6083,1369,932,269,29,139,627,597,500,37,1125,55,34,79,144,94,50,0.252816251,C,12891,0,0,0,0,0,0,0,,0,-0.69133178,-4.988514272,-0.923876846,5.52361078,-1.080152263,-0.691041357,,,,-6.080135905,0.345679012,0.368384606,0.18494164,0.137396122,0.29390681,0.252816251,0.320453031,0.390212373,0.31212105037020504,,86.19164136085594,-26.37361068,-131.7924159,28.037103105336428,9.412179215035584,6.446821791253153,4.1847790574801165,1.2504069556134283,0.2893296853625171,0.7171,0.421422101,0.123602484,,4.756573192961635,,4.860370379040069,4.619008315908296,4.787876553833485,2110,1458,12891,4293,1631,103,50,52,366,157,114,156,12,109,49,12,64,0.98291024,-5,3.87037037,5.067901235
2002,MIN,161,94,67,4.124136317190238,596,161,78,8,5,47,83,18,1444.2,6133,1454,712,662,184,439,24,45,62,3,1026,2289,5582,6196,1518,967,348,36,167,768,731,472,30,1089,56,52,34,121,79,62,0.271945539,P,13002,0,0,0,0,0,0,0,,0,9.526334431022406,-2.966877486,45.20815669931471,8.668796688,60.43636836018413,9.793368922987902,,,,61.43641828506897,0.583850932,0.537783743,0.175758553,0.164994625,0.308588396,0.271945539,0.332035053,0.436940164,0.33372791219364173,,100.93123189277522,-5.62035747,1.1468302132938275,46.02381217852235,25.74678234320891,6.391788310328073,2.734887980734916,1.1462856229048395,0.2861004730795224,0.7296,0.382262323,0.100217864,,4.124136317190238,,4.202494724,4.315949802969683,16.163841348141432,2080,1449,13002,4333,1414,74,45,29,320,123,99,124,39,57,27,5,62,0.98728741,1,4.770186335,4.422360248
2002,MON,162,83,79,3.9766025992373977,599,162,78,9,1,39,78,20,1453,6246,1475,718,642,165,508,80,46,51,5,1088,2262,5479,6250,1432,934,300,36,162,735,695,575,85,1104,46,42,108,123,118,64,0.261361562,P,12984,0,0,0,0,0,0,0,,0,3.1282595379743725,2.369985207915306,25.670146621589083,-14.11500012,17.053338165511377,3.1390731460862775,,,,12.053336905581986,0.512345679,0.51169833,0.17664,0.156597919,0.298472385,0.261361562,0.334255942,0.417959481,0.3257532884564084,,92.61218199,-0.262104578,-58.49671963,-12.66653401,13.217703516562736,6.739164529548736,3.146595203134888,1.0220240325142844,0.2951115116017121,0.7291,0.472203616,0.115223463,,3.9766025992373977,,4.084575558734834,3.9803045403835826,16.555689953267574,2177,1449,12984,4327,1625,144,79,65,325,144,107,143,23,151,53,11,22,0.97637795,-5,4.537037037,4.432098765
2002,NYM,161,75,86,3.9052664389764513,612,161,81,9,6,36,62,15,1442.2,6212,1408,703,626,163,543,75,55,22,7,1107,2389,5496,6150,1409,989,238,22,160,690,650,486,46,1044,63,30,75,142,87,42,0.256368267,LF,13068,0,0,0,0,0,0,0,,0,-9.84836544,-0.495537935,-16.6360901,-12.87791606,-39.85789173,-7.402629456,,,,-44.85790458,0.465838509,0.490668437,0.169756097,0.138646289,0.28898658,0.256368267,0.322304526,0.395014556,0.3143805482431438,,91.31488308091772,-6.12206089,-73.14759619,44.42465235572308,17.13997393868749,6.905958383301807,3.387475521348583,1.0168665008836446,0.2866022099447514,0.7329,0.4272,0.102258469,,3.9052664389764513,,4.139749447,4.209076110517669,13.382788339164108,1940,1449,13068,4355,1518,127,66,60,289,116,88,116,27,92,39,10,59,0.97883333,-5,4.285714286,4.366459627
2002,NYY,161,103,58,3.886362733074711,495,161,87,9,5,53,46,16,1452,6159,1441,697,627,144,403,44,48,59,2,1135,2135,5601,6377,1540,991,314,12,223,897,857,640,48,1171,72,41,23,150,100,38,0.274950901,P,13068,0,0,0,0,0,0,0,,0,-11.79440972,-1.920421964,-14.10434366,0.9768437497186824,-26.84241223,-6.04751927,,,,-16.84238392,0.639751553,0.623525865,0.183628665,0.179789323,0.310028248,0.274950901,0.354422411,0.454740224,0.3516912373179222,,115.8227119238704,-0.981644766,122.93147322080628,-60.38615919,27.899792487494985,7.035122331801909,2.4979333037146865,0.8925617760171585,0.29284262813276135,0.7069,0.428028609,0.08988764,,3.886362733074711,,3.619783047901822,3.8664442491712534,28.20984106324613,2108,1458,13068,4356,1789,102,50,51,362,143,115,144,14,68,46,9,40,0.98367216,10,5.571428571,4.329192547
